Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.06,-.01,-.12,-.24,-.16,.07,-.05,-.14,.01,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.05,.10,.10,.09,-.05,-.07,-.02,-.04,.00,.01,.10,.01,.01,-.02,.10,-.04,-.01
1882,.07,.08,.08,-.01,-.03,-.15,-.04,.01,-.04,.04,.00,-.06,.00,.01,.08,.01,-.06,.00
1883,-.02,-.08,-.08,-.07,-.09,-.02,-.08,-.05,-.10,-.06,-.04,-.06,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.06,-.11,-.06,-.10,-.15,-.14,-.14,-.06,-.21,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.13,-.11,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.20,-.16,-.20,-.15,-.32,-.21,-.18,-.14,-.24,-.15,-.28,-.20,-.18,-.14,-.17,-.24,-.18
1887,-.36,-.43,-.27,-.31,-.35,-.28,-.26,-.16,-.29,-.22,-.24,-.22,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.07,.15,-.12,-.15,-.18,-.23,-.20,.03
1889,.09,.04,.13,.03,.02,-.13,-.06,-.19,-.17,-.09,-.05,-.03,-.03,-.02,.09,.06,-.13,-.10
1890,-.20,-.31,-.33,-.34,-.43,-.32,-.32,-.38,-.37,-.39,-.24,-.16,-.32,-.30,-.18,-.36,-.34,-.33
1891,-.20,-.25,-.20,-.19,-.16,-.28,-.22,-.21,-.23,-.15,-.09,-.05,-.19,-.20,-.20,-.18,-.24,-.16
1892,-.08,-.05,-.13,-.21,-.22,-.38,-.25,-.20,-.12,.00,-.02,-.10,-.15,-.14,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.11,-.23,-.23,-.32,-.13,-.16,-.16,-.08,-.02,-.02,-.15,-.15,-.13,-.19,-.20,-.08
1894,-.13,-.15,-.23,-.34,-.34,-.39,-.25,-.19,-.22,-.17,-.02,-.05,-.21,-.20,-.10,-.30,-.28,-.13
1895,-.12,-.05,-.15,-.24,-.23,-.20,-.13,-.05,-.18,-.11,-.20,-.05,-.14,-.14,-.07,-.21,-.13,-.16
1896,-.07,-.06,-.02,.00,-.14,-.28,-.04,.02,-.01,.10,.13,.14,-.02,-.04,-.06,-.06,-.10,.07
1897,.10,.08,.13,.01,-.15,-.15,-.07,-.10,-.09,-.09,-.08,-.11,-.04,-.02,.11,.00,-.11,-.09
