Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.50,-.23,-.29,-.05,-.15,-.17,-.25,-.22,-.31,-.42,-.39,-.28,***,***,-.19,-.19,-.32
1881,-.30,-.21,-.03,.01,.05,-.32,.09,-.03,-.25,-.42,-.36,-.22,-.17,-.18,-.30,.01,-.09,-.35
1882,.28,.22,.03,-.31,-.24,-.29,-.26,-.13,-.23,-.51,-.32,-.66,-.20,-.17,.09,-.17,-.23,-.35
1883,-.56,-.65,-.14,-.28,-.23,-.11,-.02,-.20,-.30,-.15,-.41,-.14,-.27,-.31,-.63,-.22,-.11,-.29
1884,-.16,-.08,-.62,-.59,-.36,-.42,-.42,-.48,-.43,-.44,-.57,-.47,-.42,-.39,-.13,-.52,-.44,-.48
1885,-1.01,-.45,-.23,-.49,-.58,-.44,-.33,-.40,-.39,-.36,-.38,-.11,-.43,-.46,-.64,-.43,-.39,-.38
1886,-.74,-.83,-.71,-.36,-.33,-.37,-.14,-.43,-.33,-.31,-.39,-.21,-.43,-.42,-.56,-.47,-.31,-.34
1887,-1.07,-.70,-.43,-.38,-.24,-.19,-.23,-.53,-.20,-.48,-.26,-.43,-.43,-.41,-.66,-.35,-.32,-.31
1888,-.48,-.60,-.63,-.21,-.15,-.02,.01,-.21,-.19,-.03,.00,-.23,-.23,-.24,-.50,-.33,-.07,-.07
1889,-.26,.31,-.02,.16,-.03,-.06,-.08,-.20,-.30,-.42,-.61,-.54,-.17,-.15,-.06,.04,-.11,-.44
1890,-.63,-.57,-.47,-.25,-.35,-.16,-.23,-.39,-.35,-.10,-.62,-.46,-.38,-.39,-.58,-.36,-.26,-.36
1891,-.46,-.69,-.16,-.35,-.15,-.12,-.12,-.12,-.07,-.27,-.52,-.03,-.26,-.29,-.54,-.22,-.12,-.29
1892,-.49,-.16,-.67,-.45,-.24,-.06,-.38,-.33,-.20,-.27,-.81,-.64,-.39,-.34,-.23,-.45,-.26,-.43
1893,-1.51,-.96,-.32,-.29,-.43,-.18,-.14,-.34,-.29,-.28,-.33,-.61,-.47,-.48,-1.04,-.34,-.22,-.30
1894,-.91,-.42,-.21,-.53,-.25,-.40,-.20,-.27,-.33,-.27,-.47,-.35,-.38,-.41,-.65,-.33,-.29,-.36
1895,-.70,-.80,-.49,-.18,-.30,-.20,-.18,-.28,-.06,-.09,-.12,-.22,-.30,-.31,-.62,-.32,-.22,-.09
1896,-.36,-.18,-.50,-.60,-.16,.07,.00,-.11,-.12,.05,-.20,-.21,-.19,-.19,-.25,-.42,-.01,-.09
1897,-.40,-.42,-.40,-.05,.14,-.06,.05,-.06,-.06,-.15,-.27,-.28,-.16,-.16,-.34,-.10,-.03,-.16
1898,.07,-.45,-.79,-.27,-.27,-.07,-.11,-.17,-.17,-.36,-.50,-.26,-.28,-.28,-.22,-.44,-.11,-.34
1899,-.12,-.65,-.59,-.24,-.25,-.35,-.17,-.07,-.05,.04,.36,-.47,-.21,-.20,-.35,-.36,-.20,.12
1900,-.62,-.14,.05,-.10,-.04,-.10,-.12,-.09,-.03,.23,-.12,-.02,-.09,-.13,-.41,-.03,-.10,.03
1901,-.34,-.10,.27,.11,-.12,.00,.01,-.16,-.28,-.33,-.23,-.41,-.13,-.10,-.15,.09,-.05,-.28
